epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
0,0.429,0.3251,0.0,128.83
1,0.3084,0.259,0.0,122.11
2,0.2169,0.1728,0.1095125,122.04
3,0.1034,0.0645,0.1545625,122.02
4,0.0557,-0.0189,0.179,122.2
5,-0.0309,-0.0686,0.182825,122.31
6,-0.1091,-0.1828,0.33694999999999997,122.29
7,-0.2104,-0.2366,0.451475,122.16
8,-0.2974,-0.3372,0.509625,122.06
9,-0.3541,-0.384,0.5302250000000001,122.02
10,-0.3878,-0.4156,0.5531875,122.21
11,-0.4178,-0.4409,0.5589999999999999,122.3
12,-0.4778,-0.4815,0.621275,122.23
13,-0.4999,-0.4884,0.6283625,122.11
14,-0.5327,-0.5179,0.6522375,122.02
15,-0.5124,-0.5412,0.6691625,122.04
16,-0.529,-0.5735,0.679425,122.05
17,-0.551,-0.5754,0.6836625,122.05
18,-0.5778,-0.6004,0.6893625,121.99
19,-0.5885,-0.6035,0.699575,122.19
20,-0.6111,-0.6267,0.748225,122.36
21,-0.6158,-0.6191,0.7598,122.32
22,-0.6352,-0.6096,0.739775,122.14
23,-0.6502,-0.6683,0.7830125,122.03
24,-0.6605,-0.6256,0.76805,122.05
25,-0.649,-0.6485,0.78535,122.26
26,-0.6583,-0.66,0.79375,122.32
27,-0.652,-0.6155,0.76965,122.32
28,-0.6637,-0.692,0.7958875,122.11
29,-0.6961,-0.7184,0.8133875,122.02
30,-0.671,-0.6915,0.80355,122.02
31,-0.6911,-0.6901,0.7911375,121.98
32,-0.6758,-0.7177,0.829475,122.03
33,-0.7024,-0.6918,0.8115375,122.05
34,-0.6945,-0.7048,0.809675,122.26
35,-0.7001,-0.6855,0.801225,122.34
36,-0.7145,-0.713,0.8082125,122.35
37,-0.7078,-0.7106,0.818125,122.06
38,-0.7012,-0.6831,0.8044375,122.05
39,-0.6997,-0.6789,0.8121499999999999,122.03
40,-0.6975,-0.7342,0.828225,122.33
41,-0.7277,-0.7524,0.8364,122.41
